iter	Passed	Remaining
235	355	1152
236	356	1148
237	357	1145
238	358	1142
239	359	1139
240	360	1136
241	362	1133
242	362	1130
243	363	1127
244	364	1123
245	365	1120
246	366	1117
247	367	1113
248	368	1110
249	368	1106
250	369	1103
251	370	1100
252	371	1097
253	372	1093
254	373	1090
255	374	1087
256	375	1084
257	376	1081
258	376	1078
259	377	1075
260	378	1071
261	379	1068
262	380	1065
263	380	1062
264	381	1058
265	382	1055
266	383	1052
267	384	1049
268	385	1046
269	386	1043
270	386	1040
271	387	1037
272	388	1034
273	389	1032
274	390	1029
275	391	1025
276	391	1022
277	392	1019
278	393	1017
279	394	1013
280	395	1011
281	396	1008
282	396	1005
283	397	1003
284	398	1000
285	399	997
286	400	994
287	401	992
288	402	989
289	403	987
290	404	984
291	404	981
292	405	979
293	406	976
294	407	974
295	408	971
296	409	968
297	410	966
298	411	963
299	411	961
300	412	958
301	413	955
302	414	953
303	415	950
304	416	948
305	417	946
306	418	944
307	419	942
308	420	940
309	421	937
310	422	935
311	422	932
312	423	930
313	424	927
314	425	925
315	426	923
316	427	920
317	428	918
318	429	916
319	430	913
320	431	911
321	431	909
322	432	907
323	433	904
324	434	902
325	435	900
326	436	897
327	437	895
328	438	893
329	438	891
330	439	888
331	440	886
332	441	884
333	442	882
334	443	879
335	444	877
336	445	876
337	446	874
338	447	872
339	448	869
340	448	867
341	449	865
342	450	863
343	451	861
344	452	859
345	453	856
346	454	854
347	454	852
348	455	850
349	456	847
350	457	845
351	458	843
352	459	842
353	460	840
354	461	838
355	462	836
356	463	834
357	464	832
358	465	830
359	466	828
360	466	826
361	467	824
362	468	822
363	469	820
364	470	818
365	471	816
366	472	814
367	473	812
368	474	811
369	475	809
370	476	807
371	477	805
372	478	803
373	479	801
374	479	799
375	480	798
376	481	795
377	482	793
378	483	791
379	484	789
380	484	787
381	485	785
382	486	784
383	487	782
384	488	780
385	489	779
386	490	777
387	491	775
388	492	773
389	493	772
390	494	770
391	495	768
392	496	766
393	497	764
394	498	763
395	499	761
396	500	759
397	501	758
398	502	756
399	503	755
400	504	753
401	505	751
402	506	750
403	507	748
404	508	747
405	509	745
406	510	743
407	511	741
408	512	740
409	513	738
410	514	737
411	515	735
412	516	733
413	517	731
414	518	730
415	519	728
416	520	727
417	520	725
418	521	723
419	522	721
420	523	720
421	524	718
422	525	716
423	526	714
424	527	713
425	528	711
426	529	709
427	529	708
428	530	706
429	531	705
430	532	703
431	533	701
432	534	700
433	535	698
434	536	696
435	537	695
436	538	693
437	539	691
438	539	689
439	540	688
440	541	686
441	542	685
442	543	683
443	544	681
444	545	680
445	546	678
446	547	677
447	548	675
448	549	674
449	550	672
450	551	671
451	552	669
452	553	667
453	554	666
454	555	664
455	556	663
456	556	661
457	557	660
458	558	658
459	559	656
460	560	655
461	561	653
462	562	652
463	563	650
464	564	649
465	565	647
466	565	645
467	566	644
468	567	642
469	568	641
470	569	639
471	570	638
472	571	636
473	572	634
474	572	633
475	573	631
476	574	629
477	575	628
478	576	627
479	577	625
480	578	624
481	579	622
482	580	621
483	581	619
484	581	617
485	582	616
486	583	614
487	584	613
488	585	611
489	586	610
490	587	608
491	588	607
492	589	605
493	589	604
494	590	602
495	591	601
496	592	599
497	593	598
498	594	597
499	595	595
500	596	593
501	597	592
502	598	590
503	598	589
504	599	588
505	600	586
506	601	585
507	602	583
508	603	582
509	604	580
510	605	579
511	606	577
512	607	576
513	608	575
514	609	573
515	610	572
516	610	570
517	611	569
518	612	567
519	613	566
520	614	564
521	614	563
522	615	561
523	616	560
524	617	558
525	618	556
526	618	555
527	619	554
528	620	552
529	621	551
530	622	550
531	623	548
532	624	547
533	625	545
534	626	544
535	627	543
536	628	541
537	629	540
538	630	538
539	631	537
540	632	536
541	632	534
542	633	533
543	634	532
544	635	530
545	636	529
546	637	528
547	638	527
548	639	525
549	640	524
550	641	522
551	642	521
552	643	520
553	644	518
554	645	517
555	646	516
556	647	514
557	648	513
558	649	512
559	650	510
560	651	509
561	652	508
562	653	507
563	654	505
564	655	504
565	656	503
566	657	501
567	658	500
568	659	499
569	659	497
570	660	496
571	661	494
572	662	493
573	663	492
574	664	491
575	665	489
576	666	488
577	667	487
578	668	486
579	669	484
580	670	483
581	671	482
582	672	481
583	673	480
584	674	478
585	675	477
586	677	476
587	678	475
588	679	473
589	680	472
590	681	471
591	682	470
592	683	468
593	684	467
594	685	466
595	685	464
596	687	463
597	688	462
598	688	461
599	689	459
600	690	458
601	691	457
602	693	456
603	694	455
604	695	453
605	696	452
606	696	451
607	698	450
608	699	448
609	700	447
610	701	446
611	702	445
612	703	443
613	704	442
614	704	441
615	705	439
616	706	438
617	707	437
618	708	436
619	709	434
620	710	433
621	711	432
622	712	431
623	713	430
624	714	428
625	715	427
626	716	426
627	717	424
628	718	423
629	719	422
630	719	420
631	720	419
632	721	418
633	722	417
634	723	415
635	724	414
636	725	413
637	726	411
638	726	410
639	727	409
640	728	408
641	729	406
642	730	405
643	731	404
644	732	402
645	733	401
646	733	400
647	734	399
648	735	398
649	736	396
650	737	395
651	738	394
652	739	393
653	740	391
654	741	390
655	742	389
656	743	387
657	743	386
658	744	385
659	745	384
660	746	382
661	747	381
662	748	380
663	749	379
664	750	378
665	751	376
666	752	375
667	753	374
668	754	373
669	755	371
670	756	370
671	757	369
672	757	368
673	758	366
674	759	365
675	760	364
676	761	363
677	762	361
678	762	360
679	763	359
680	764	358
681	765	357
682	766	355
683	767	354
684	768	353
685	769	352
686	770	351
687	771	349
688	772	348
689	773	347
690	774	346
691	775	344
692	775	343
693	776	342
694	777	341
695	778	340
696	779	338
697	780	337
698	781	336
699	782	335
700	783	334
701	784	332
702	785	331
703	786	330
704	787	329
705	787	328
706	788	326
707	789	325
708	790	324
709	791	323
710	792	322
711	793	320
712	794	319
713	795	318
714	796	317
715	797	316
716	798	315
717	799	313
718	800	312
719	801	311
720	802	310
721	802	309
722	803	307
723	804	306
724	805	305
725	806	304
726	807	303
727	808	302
728	809	300
729	810	299
730	811	298
731	812	297
732	813	296
733	814	295
734	815	293
735	816	292
736	817	291
737	818	290
738	819	289
739	820	288
740	820	286
741	821	285
742	822	284
743	824	283
744	824	282
745	826	281
746	827	280
747	827	278
748	828	277
749	829	276
750	830	275
751	831	274
752	832	273
753	833	271
754	834	270
755	835	269
756	836	268
757	837	267
758	838	266
759	839	265
760	840	263
761	841	262
762	842	261
763	842	260
764	843	259
765	844	258
766	845	256
767	846	255
768	847	254
769	848	253
770	848	252
771	849	250
772	850	249
773	851	248
774	852	247
775	853	246
776	854	245
777	855	244
778	856	242
779	857	241
780	858	240
781	859	239
782	860	238
783	860	237
784	861	236
785	862	234
786	863	233
787	864	232
788	865	231
789	866	230
790	866	229
791	867	227
792	869	226
793	869	225
794	870	224
795	871	223
796	872	222
797	873	221
798	874	220
799	875	218
800	876	217
801	877	216
802	878	215
803	879	214
804	880	213
805	881	212
806	882	211
807	883	209
808	884	208
809	885	207
810	886	206
811	887	205
812	888	204
813	889	203
814	890	202
815	891	200
816	892	199
817	893	198
818	894	197
819	894	196
820	895	195
821	896	194
822	897	193
823	898	191
824	899	190
825	900	189
826	901	188
827	902	187
828	903	186
829	903	185
830	904	184
831	905	182
832	907	181
833	907	180
834	908	179
835	909	178
836	910	177
837	911	176
838	912	175
839	913	173
840	914	172
841	915	171
842	916	170
843	917	169
844	918	168
845	919	167
846	919	166
847	920	165
848	921	163
849	922	162
850	923	161
851	924	160
852	925	159
853	926	158
854	927	157
855	928	156
856	929	155
857	930	153
858	931	152
859	932	151
860	933	150
861	934	149
862	935	148
863	935	147
864	936	146
865	937	145
866	938	143
867	939	142
868	940	141
869	941	140
870	942	139
871	943	138
872	944	137
873	945	136
874	946	135
875	946	134
876	947	132
877	948	131
878	949	130
879	950	129
880	951	128
881	952	127
882	953	126
883	953	125
884	954	124
885	955	122
886	956	121
887	957	120
888	958	119
889	959	118
890	960	117
891	961	116
892	962	115
893	963	114
894	964	113
895	965	112
896	966	110
897	966	109
898	967	108
899	968	107
900	969	106
901	971	105
902	972	104
903	973	103
904	974	102
905	975	101
906	976	100
907	977	99
908	978	97
909	981	97
910	982	95
911	983	94
912	985	93
913	987	92
914	988	91
915	989	90
916	990	89
917	991	88
918	992	87
919	993	86
920	994	85
921	995	84
922	996	83
923	997	82
924	998	80
925	1000	79
926	1001	78
927	1002	77
928	1003	76
929	1005	75
930	1006	74
931	1007	73
932	1008	72
933	1009	71
934	1010	70
935	1011	69
936	1012	68
937	1014	67
938	1015	65
939	1016	64
940	1017	63
941	1018	62
942	1019	61
943	1020	60
944	1021	59
945	1022	58
946	1023	57
947	1024	56
948	1025	55
949	1026	54
950	1027	52
951	1032	52
952	1033	50
953	1034	49
954	1035	48
955	1036	47
956	1037	46
957	1038	45
958	1040	44
959	1041	43
960	1042	42
961	1043	41
962	1044	40
963	1045	39
964	1046	37
965	1047	36
966	1048	35
967	1049	34
968	1050	33
969	1051	32
970	1052	31
971	1054	30
972	1055	29
973	1056	28
974	1057	27
975	1059	26
976	1060	24
977	1061	23
978	1062	22
979	1063	21
980	1064	20
981	1065	19
982	1066	18
983	1067	17
984	1068	16
985	1069	15
986	1070	14
987	1071	13
988	1072	11
989	1073	10
990	1074	9
991	1075	8
992	1076	7
993	1078	6
994	1078	5
995	1079	4
996	1080	3
997	1081	2
998	1082	1
999	1084	0
